,0
0,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 1406 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3152)	0.4254684000938038
  (0, 3151)	0.6477981861892957
  (0, 3150)	0.9140078273764938
  (0, 3148)	0.5547911393687623
  (0, 3147)	2.242970279708351
  (0, 3146)	3.1359627514945947
  (0, 3145)	2.7722465266999596
  (0, 3144)	2.9090581433689815
  (0, 3143)	2.5723465238081125
  (0, 3141)	2.093724986298227
  (0, 3140)	2.3340100560062833
  (0, 3139)	2.143938442425185
  (0, 3138)	3.1724157663317967
  (0, 3136)	0.04223493681486904
  (0, 3135)	2.9880738542338983
  (0, 3134)	1.8802702605828407
  (0, 3133)	1.0565296341690793
  (0, 3132)	2.18509979981783
  (0, 3131)	2.1584120550108308
  (0, 3130)	0.13297715842416263
  (0, 3129)	0.5137987560137504
  (0, 3128)	1.4863262492386071
  (0, 3127)	1.834261276561075
  (0, 3126)	2.5420832383070833
  (0, 3125)	3.281587171568905
  :	:
  (0, 25)	0.021002292478807114
  (0, 24)	3.2035878173375343
  (0, 23)	3.8296064038834063
  (0, 22)	0.015873332358407658
  (0, 21)	0.12365489671203547
  (0, 20)	3.075520657726665
  (0, 19)	3.840021234333757
  (0, 18)	0.2913382725616479
  (0, 17)	3.244169306593399
  (0, 16)	3.047390692412709
  (0, 15)	3.5822870139864706
  (0, 14)	3.5530796719683564
  (0, 13)	2.1428740283353993
  (0, 12)	1.4834364879125042
  (0, 11)	3.672501491409835
  (0, 10)	0.06233945493462023
  (0, 9)	0.008206224647727755
  (0, 8)	3.6938410336771295
  (0, 7)	0.09761414647024622
  (0, 6)	0.7507995619478826
  (0, 4)	2.1884446205567847
  (0, 3)	2.83914657110811
  (0, 2)	3.20338634771949
  (0, 1)	0.020378655059908896
  (0, 0)	3.2343650019106613"
223,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 1880 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3148)	1.5216707702140475
  (0, 3147)	0.8289423939188438
  (0, 3145)	1.43821333858707
  (0, 3144)	0.9987959236963885
  (0, 3142)	0.20838682424854688
  (0, 3140)	0.01922901387816942
  (0, 3138)	0.5851240823804092
  (0, 3137)	0.6962473398939669
  (0, 3136)	0.021340425572945555
  (0, 3135)	0.01324109742823814
  (0, 3134)	2.3682042337291245
  (0, 3132)	2.471384273067142
  (0, 3131)	1.9301828879883252
  (0, 3129)	0.5057997905078767
  (0, 3128)	1.5992993450439954
  (0, 3125)	0.6966010645367895
  (0, 3124)	1.0742763172635552
  (0, 3122)	0.012836256931525823
  (0, 3121)	0.03677095718487424
  (0, 3119)	0.014105481586011706
  (0, 3117)	0.8381734300823626
  (0, 3116)	0.0643869731986923
  (0, 3113)	0.048554640185533196
  (0, 3112)	0.46236482251038297
  (0, 3111)	0.03845069952386156
  :	:
  (0, 68)	0.598441696472731
  (0, 61)	0.4365131892476248
  (0, 54)	0.24521439823669897
  (0, 51)	0.46356355083027717
  (0, 50)	0.5307285601328039
  (0, 46)	0.2541556406470033
  (0, 44)	0.8052283300509314
  (0, 42)	1.9721837767181076
  (0, 41)	0.19629237909417985
  (0, 40)	0.6789450076966658
  (0, 39)	0.016983757756636523
  (0, 38)	1.768770655940745
  (0, 35)	0.07130376311160272
  (0, 34)	0.8244924424724882
  (0, 24)	0.8332301569584003
  (0, 23)	0.44778187363349037
  (0, 22)	0.7726204198372626
  (0, 21)	0.010116229807419793
  (0, 19)	0.6620610823952077
  (0, 17)	0.8345397825796196
  (0, 15)	0.9947746838993304
  (0, 14)	1.0934940371127218
  (0, 13)	1.2535968576743952
  (0, 6)	0.20209661260691122
  (0, 3)	0.26817755226128664"
224,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 25 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3089)	0.15453576831484797
  (0, 3086)	0.06278035884859275
  (0, 3080)	0.05162498740177918
  (0, 2955)	0.03610454834834253
  (0, 2875)	0.04286394944364694
  (0, 2843)	0.6701918501905388
  (0, 2799)	0.16152186259225665
  (0, 2743)	0.18955718043186165
  (0, 2731)	0.027505770250207222
  (0, 2699)	0.35222419672488053
  (0, 2544)	0.04536213052196267
  (0, 1920)	0.02515147218453235
  (0, 1873)	0.09902846885901287
  (0, 1832)	0.07891211958732815
  (0, 1762)	0.13623606048295714
  (0, 1759)	0.06525429177692035
  (0, 1724)	0.17995421456210373
  (0, 1601)	0.15211295219791765
  (0, 638)	0.026214439285497656
  (0, 613)	0.009952707658401158
  (0, 533)	0.12101225593218808
  (0, 377)	0.3108141591681608
  (0, 150)	2.6417543784484616
  (0, 145)	0.8613597166356491
  (0, 23)	0.04131123371360827"
225,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 14 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3150)	0.04860917154895355
  (0, 3139)	0.3760665970776898
  (0, 2803)	0.018175213835469203
  (0, 2531)	0.22846052049453622
  (0, 2431)	1.5218549378599517
  (0, 2093)	1.1721919798909815
  (0, 2089)	0.11658096054288754
  (0, 1773)	0.6403724976305903
  (0, 1203)	0.03647556935899055
  (0, 1155)	0.04286585271418855
  (0, 863)	2.183147133913728
  (0, 829)	0.04301997633291263
  (0, 800)	0.4417336112541071
  (0, 626)	0.22016198160536493"
226,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 615 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3141)	0.03855691194378964
  (0, 3130)	0.26861530158982266
  (0, 3129)	0.10610462783489633
  (0, 3121)	1.8180552355714794
  (0, 3114)	0.023712739722106843
  (0, 3106)	0.7560285107694299
  (0, 3105)	0.6741449313290743
  (0, 3090)	1.5655426357147113
  (0, 3087)	2.8962536863307187
  (0, 3078)	1.0132052927178128
  (0, 3075)	1.2693886951748412
  (0, 3071)	0.11449605351491149
  (0, 3052)	2.566356897009735
  (0, 3033)	2.602105583805071
  (0, 3031)	0.014501299352395091
  (0, 3025)	0.4001884212412436
  (0, 3015)	0.0369763428239974
  (0, 3012)	0.030790230475695745
  (0, 3010)	1.7387530307510792
  (0, 3004)	0.9406454217645962
  (0, 2987)	2.4337656302820254
  (0, 2982)	1.363470047025616
  (0, 2979)	0.39176942151961147
  (0, 2978)	0.7160300755198187
  (0, 2977)	0.7761669044143227
  :	:
  (0, 148)	0.12360018761300419
  (0, 144)	1.365568951192979
  (0, 141)	2.2599863767837505
  (0, 139)	0.0060914578353273826
  (0, 135)	0.16184847763821025
  (0, 131)	0.029433972461173158
  (0, 125)	1.7378024358763413
  (0, 122)	0.030221723279368225
  (0, 121)	1.5375353680691735
  (0, 118)	0.010413950122641397
  (0, 108)	0.11816692311727912
  (0, 107)	2.0110938918089283
  (0, 105)	0.05565802175414954
  (0, 104)	0.004978741146096011
  (0, 103)	0.06099116355109277
  (0, 98)	2.297993189650252
  (0, 83)	1.83477639120398
  (0, 70)	0.3770993985868918
  (0, 48)	2.881163762741826
  (0, 35)	0.568925602502728
  (0, 29)	0.07187722487433917
  (0, 22)	1.7077180418197995
  (0, 20)	1.8189350546070198
  (0, 12)	0.005858782996238729
  (0, 9)	0.12736406850955018"
227,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 20 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3086)	0.11031279758253587
  (0, 3069)	0.18831980492147218
  (0, 2878)	0.037103950473000157
  (0, 2208)	0.2993391569939936
  (0, 1412)	0.06473771215388736
  (0, 1406)	0.12832260288569797
  (0, 1339)	0.017317664557726164
  (0, 1337)	0.8791471117219445
  (0, 1236)	0.14199813938491723
  (0, 1058)	2.5582612178294113
  (0, 902)	0.01591541308816745
  (0, 781)	0.010130105418766765
  (0, 484)	0.3013804729052715
  (0, 471)	0.5036536245151474
  (0, 384)	0.5358008584906994
  (0, 320)	1.2774868663610373
  (0, 162)	0.4209813939650976
  (0, 82)	0.05124807114510979
  (0, 26)	0.007411037036129679
  (0, 19)	0.0034996800268442107"
228,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 741 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3134)	0.35580482541192354
  (0, 3132)	0.3261885154536007
  (0, 3130)	0.45037195232592103
  (0, 3129)	1.1400184299981548
  (0, 3121)	0.10648938244363904
  (0, 3106)	0.04373046030712059
  (0, 3101)	0.050339104549156924
  (0, 3098)	0.018703723988866827
  (0, 3095)	0.28819363491054356
  (0, 3090)	0.37241236671370137
  (0, 3087)	1.2609827160429783
  (0, 3078)	0.07167591724591348
  (0, 3076)	0.16733963345115513
  (0, 3073)	0.018178955372064806
  (0, 3071)	0.5849375230075535
  (0, 3069)	0.3467330261630258
  (0, 3061)	0.09797882995427933
  (0, 3060)	0.2191407203011422
  (0, 3043)	0.6483372790865397
  (0, 3041)	0.05944403201532763
  (0, 3035)	0.11153905541624715
  (0, 3033)	0.42843758097954077
  (0, 3025)	0.6827924531163271
  (0, 3024)	0.4288940683512656
  (0, 3021)	0.05703710329458702
  :	:
  (0, 171)	0.011136344586413787
  (0, 154)	0.032222915755996756
  (0, 153)	0.023055652262374018
  (0, 144)	0.5377173747776631
  (0, 141)	0.150038319893669
  (0, 130)	0.007328354168791352
  (0, 125)	0.0481232924896748
  (0, 123)	0.050638474426320655
  (0, 118)	0.0315907681552414
  (0, 111)	0.017372295365405528
  (0, 109)	0.006447903791286835
  (0, 107)	1.2788513037107176
  (0, 102)	0.9553773993105031
  (0, 100)	0.49458566079056654
  (0, 98)	0.5511146134501105
  (0, 90)	0.06339619501086478
  (0, 89)	0.024851432502303778
  (0, 68)	0.0033568399377341108
  (0, 52)	2.3457232484436608
  (0, 48)	2.242570554399259
  (0, 35)	0.5039424399524148
  (0, 29)	1.515463277989445
  (0, 22)	0.33647193185958674
  (0, 21)	0.09414491660453134
  (0, 8)	0.0364252750451412"
229,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 44 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3078)	0.01842986003894884
  (0, 3072)	0.014997432021253445
  (0, 3056)	0.027400413159582606
  (0, 2969)	0.017035826684154716
  (0, 2963)	0.02396171945666877
  (0, 2955)	0.021751564680538
  (0, 2944)	0.03503036508564896
  (0, 2928)	0.026987017082999692
  (0, 2896)	0.022901090541603043
  (0, 2855)	0.03750146060868754
  (0, 2849)	0.03137831021153892
  (0, 2834)	0.03583020382828066
  (0, 2816)	0.02556589334788766
  (0, 2518)	0.05393595465891014
  (0, 2299)	0.011780685296400705
  (0, 2285)	1.080090715037168
  (0, 2048)	0.005216360602375388
  (0, 1856)	0.014659276459094069
  (0, 1788)	0.07884117117051682
  (0, 1693)	0.659348634060365
  (0, 1642)	2.4815718513018203
  (0, 1595)	0.026165295904668172
  (0, 1462)	0.04458375948039278
  (0, 1449)	0.027226636762245154
  (0, 1433)	0.033402566605498216
  (0, 1373)	0.04989838879149983
  (0, 1345)	0.024045329709960615
  (0, 1166)	0.026483275216807958
  (0, 1155)	0.017717760976760904
  (0, 1120)	0.3047565397277166
  (0, 1000)	0.046504336930503626
  (0, 865)	0.49370196296735974
  (0, 783)	0.049940722088152464
  (0, 667)	0.030320086428392012
  (0, 625)	0.02817401378587529
  (0, 600)	0.019068328291454734
  (0, 560)	0.00824251136552135
  (0, 524)	0.011578031516886843
  (0, 366)	0.008522859283780973
  (0, 301)	0.09128438869203705
  (0, 185)	0.10055598133033267
  (0, 152)	0.010383083236210594
  (0, 117)	0.010642428836232188
  (0, 67)	0.003869825243506746"
230,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 135 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3139)	1.3188890126217434
  (0, 3129)	0.07197220404311448
  (0, 3122)	1.1859340322376026
  (0, 3087)	0.46909903064596964
  (0, 3025)	0.47856419638714437
  (0, 3004)	0.18043316996061065
  (0, 3000)	0.4661965392867766
  (0, 2978)	0.395120784643939
  (0, 2974)	0.05871074358991662
  (0, 2948)	0.17026619438815377
  (0, 2891)	0.8033237625327466
  (0, 2876)	0.12664915044257782
  (0, 2867)	1.806386428484567
  (0, 2839)	0.7216301607268272
  (0, 2786)	0.20122508994726163
  (0, 2783)	0.15062631280952699
  (0, 2767)	0.17993796189138483
  (0, 2737)	0.03373490371887476
  (0, 2735)	0.2249182372804589
  (0, 2726)	0.5196103383133402
  (0, 2705)	0.2850834286659032
  (0, 2701)	0.21119934698595388
  (0, 2663)	1.620455245542917
  (0, 2652)	0.05384735896725709
  (0, 2646)	1.1169001956039342
  :	:
  (0, 1026)	1.2033762927959446
  (0, 1023)	0.3549646997588217
  (0, 996)	0.013841070569674185
  (0, 959)	0.03004997683200355
  (0, 940)	0.5406699852853899
  (0, 918)	1.5590857572222019
  (0, 916)	0.7160059097341169
  (0, 911)	0.022458013739914663
  (0, 844)	0.9059030679905228
  (0, 834)	0.6709734757755874
  (0, 819)	1.6266036372906494
  (0, 809)	0.9369999858209347
  (0, 807)	0.05042432535977066
  (0, 800)	1.3797944361366181
  (0, 789)	0.15476182816369052
  (0, 368)	0.02524857475948689
  (0, 320)	3.1670692693414617
  (0, 318)	0.008237977868038508
  (0, 314)	0.006703642107956721
  (0, 313)	0.015455744617309985
  (0, 310)	0.010143617937827256
  (0, 273)	0.0066618903203479055
  (0, 271)	0.008409375162935771
  (0, 266)	1.7298158055534567
  (0, 66)	0.10203471913612483"
231,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 952 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3146)	0.11264540577735632
  (0, 3139)	0.9436609094349934
  (0, 3130)	0.13297715842416263
  (0, 3129)	0.13911037955480185
  (0, 3122)	0.9856187864967365
  (0, 3121)	0.29050185361884856
  (0, 3108)	1.064103910704425
  (0, 3105)	0.1668989843786442
  (0, 3101)	0.09826516886207498
  (0, 3095)	0.018386352036072563
  (0, 3090)	0.08984666402978649
  (0, 3084)	0.018332487126679734
  (0, 3082)	0.03657249542164931
  (0, 3081)	0.015715094041331267
  (0, 3079)	0.02345474540071166
  (0, 3078)	0.07167591724591348
  (0, 3075)	1.015377522468836
  (0, 3071)	0.4755155167789574
  (0, 3069)	0.09858641089722288
  (0, 3059)	0.0903559392770991
  (0, 3057)	0.4557571315682999
  (0, 3052)	1.0556682570644278
  (0, 3043)	1.0111233646330513
  (0, 3033)	0.8257786047781303
  (0, 3026)	0.1363796004936058
  :	:
  (0, 83)	1.0333458557932511
  (0, 77)	1.0649318780813448
  (0, 72)	0.021423270053179667
  (0, 70)	0.3354660521837176
  (0, 68)	0.0035139289131925116
  (0, 67)	1.6412879524422435
  (0, 58)	1.3132029505212222
  (0, 57)	0.006602222382128602
  (0, 46)	1.4473759412741958
  (0, 45)	0.03646335397352151
  (0, 44)	0.39396871097338193
  (0, 43)	0.016075733329808804
  (0, 40)	0.03855787840078401
  (0, 38)	0.017957446885043506
  (0, 35)	1.146865316737205
  (0, 33)	0.17201743259769542
  (0, 27)	1.8690128576545428
  (0, 22)	0.6280434654043225
  (0, 21)	0.032376497738949905
  (0, 19)	0.5020356185886237
  (0, 14)	0.3318057286005025
  (0, 9)	0.523567499114972
  (0, 7)	0.06339930816179165
  (0, 4)	0.02422833891903242
  (0, 1)	0.010337054903739325"
232,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 1523 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3153)	0.055781620574361764
  (0, 3148)	0.6112326273002334
  (0, 3146)	0.4676101055361781
  (0, 3144)	0.3518038181239805
  (0, 3143)	0.044268375520622176
  (0, 3140)	0.40865477191052824
  (0, 3135)	0.6873371305882756
  (0, 3131)	0.02651339058044206
  (0, 3130)	1.063440541389036
  (0, 3129)	1.2738473601106808
  (0, 3128)	0.10507096836016099
  (0, 3121)	2.2531703450748455
  (0, 3114)	1.2446157525496502
  (0, 3112)	0.042167609663193925
  (0, 3109)	0.03908014192954297
  (0, 3108)	1.4072338905751363
  (0, 3106)	0.7502447498905018
  (0, 3105)	2.8780995651932484
  (0, 3101)	0.3578355480646668
  (0, 3099)	0.02724591867911926
  (0, 3098)	0.2925466339237686
  (0, 3090)	1.548382789112029
  (0, 3087)	2.01613787132224
  (0, 3086)	0.012875344114598461
  (0, 3085)	0.039481357143641316
  :	:
  (0, 67)	2.448793808083273
  (0, 66)	0.013338386858616429
  (0, 65)	0.01388345254357572
  (0, 64)	0.18401236777529775
  (0, 60)	1.7250044713795922
  (0, 58)	0.052935151052061126
  (0, 55)	0.08990300050075026
  (0, 53)	0.010237400518235124
  (0, 49)	0.5758594437107144
  (0, 44)	0.019919211630921536
  (0, 42)	0.579978739173349
  (0, 35)	1.885002061962297
  (0, 31)	0.014689728898521109
  (0, 30)	0.0338532581696556
  (0, 29)	1.566026121946482
  (0, 28)	0.0167189425392402
  (0, 27)	0.058495864405408084
  (0, 26)	0.007411037036129678
  (0, 21)	0.032376497738949905
  (0, 19)	0.0034996800268442107
  (0, 13)	0.7487372795039644
  (0, 12)	0.34035224749416454
  (0, 9)	2.9283844915696347
  (0, 2)	0.013336340475115718
  (0, 1)	0.1346305584585008"
233,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 3 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 1873)	1.3377968262366489
  (0, 543)	0.011530721881735751
  (0, 286)	0.009739955139422189"
234,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 67 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3097)	0.11867164161813766
  (0, 3025)	0.012974103109458863
  (0, 3003)	0.12670254290575408
  (0, 2915)	0.15571537203161528
  (0, 2900)	0.057436995783461536
  (0, 2878)	0.08335111399300091
  (0, 2874)	0.026974163888103683
  (0, 2846)	3.20516717921113
  (0, 2813)	0.17899841996079627
  (0, 2774)	0.0649313447352229
  (0, 2765)	0.10624077883005457
  (0, 2761)	0.03677532982341024
  (0, 2729)	0.14887143484593673
  (0, 2650)	0.09878672440761245
  (0, 2633)	0.18318400616500918
  (0, 2523)	0.05463332246150182
  (0, 2452)	0.051332007801239504
  (0, 2443)	0.04746026437060245
  (0, 2412)	0.011555625593601744
  (0, 2402)	0.39217186099750073
  (0, 2263)	0.018645978187891044
  (0, 2254)	0.1666233480016357
  (0, 2168)	0.04914349975584345
  (0, 2157)	0.06785271607616089
  (0, 2138)	0.06287662854425063
  :	:
  (0, 1438)	0.011155889338712338
  (0, 1417)	0.04671107031711395
  (0, 1398)	0.02905348489738937
  (0, 1392)	0.02554186647471027
  (0, 1385)	0.04466932096443874
  (0, 1383)	0.12755235386335553
  (0, 1358)	7.582903766137043e-07
  (0, 1356)	0.15682455053296435
  (0, 1353)	0.03317604063728995
  (0, 1340)	0.10356040141024238
  (0, 1310)	0.025647936477046215
  (0, 1263)	0.1637672899274219
  (0, 1228)	0.0176242071526416
  (0, 1216)	0.05123346409153242
  (0, 1211)	0.09575008114565936
  (0, 1197)	0.008825868455376302
  (0, 963)	0.014889913099969138
  (0, 746)	0.04950881209858773
  (0, 731)	0.006010760925455007
  (0, 653)	0.050966833316114055
  (0, 579)	0.027663210008067825
  (0, 404)	0.007850292129711145
  (0, 164)	0.02164268102291736
  (0, 79)	0.011496591336326389
  (0, 33)	0.4466682223851795"
235,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 69 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 2782)	1.6111595359673476
  (0, 2736)	0.06725448936879148
  (0, 2699)	0.15048264653310295
  (0, 2592)	0.21080181524473285
  (0, 2517)	0.07370767458930347
  (0, 2438)	0.35479607047529266
  (0, 2431)	0.5623075796011338
  (0, 2369)	0.9621129192681853
  (0, 2309)	1.5664130779453234
  (0, 2294)	1.3072299714960378
  (0, 2282)	1.4629672572688144
  (0, 2266)	1.293276811749003
  (0, 2209)	0.07095727629224002
  (0, 2116)	0.0854687817533121
  (0, 2074)	1.9690831306915202
  (0, 2045)	0.09793890107851197
  (0, 2043)	0.01825631101780462
  (0, 2041)	1.1287636009038098
  (0, 1900)	0.012543659036636033
  (0, 1839)	0.44280715344746546
  (0, 1834)	0.9957027837004436
  (0, 1773)	0.4138819471309632
  (0, 1741)	1.2543696455987603
  (0, 1733)	0.8689753207848998
  (0, 1607)	0.5663484114601287
  :	:
  (0, 996)	1.3141678614737173
  (0, 992)	2.3068238480026078
  (0, 983)	0.01721888636817706
  (0, 956)	0.09713730063387246
  (0, 943)	2.1319003330794044
  (0, 918)	1.0370627786356619
  (0, 907)	0.15593640792076224
  (0, 890)	0.014665987020839303
  (0, 820)	2.244460490422518
  (0, 764)	0.03807579055854245
  (0, 727)	0.09813110565335882
  (0, 641)	0.030251652240682093
  (0, 609)	0.23300679605110503
  (0, 600)	0.015445157334034251
  (0, 599)	0.016742845281806716
  (0, 588)	0.6238913282613429
  (0, 568)	1.0072730407184975
  (0, 490)	0.48072873195333193
  (0, 488)	0.011398394974356477
  (0, 436)	0.1271070277980736
  (0, 413)	1.0468290753204166
  (0, 284)	1.0977780712851561
  (0, 266)	0.13434706654392828
  (0, 237)	0.025172302947235745
  (0, 159)	0.0065462310935215885"
236,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 155 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3122)	0.030541615064366503
  (0, 3004)	0.017005652479548647
  (0, 2962)	0.023470233339288056
  (0, 2895)	0.022116386644935454
  (0, 2890)	0.026038503251492387
  (0, 2501)	0.049763762033413414
  (0, 2440)	0.2842932644497893
  (0, 2360)	0.5578642869643445
  (0, 2359)	0.43608296815884984
  (0, 2358)	0.3145137094602281
  (0, 2343)	1.1473851555110577
  (0, 2269)	2.22699919113509e-09
  (0, 2260)	2.793458385007169
  (0, 2246)	0.2650736550201499
  (0, 2243)	0.9145542564819749
  (0, 2236)	0.013869076149566634
  (0, 2229)	0.024243686875809807
  (0, 2171)	1.838898417614333
  (0, 2169)	0.049322203049800686
  (0, 2164)	0.1483036149498635
  (0, 2100)	0.0121324735638615
  (0, 2046)	0.002322738238888708
  (0, 2043)	0.025979468800397733
  (0, 1986)	0.006472162187282799
  (0, 1984)	0.04436138122908296
  :	:
  (0, 130)	0.009358072823297162
  (0, 110)	0.01642616575381305
  (0, 107)	0.007180504255748198
  (0, 105)	0.05565802175414954
  (0, 95)	0.03379128037393578
  (0, 94)	1.43860415484737
  (0, 83)	0.0075826252734384255
  (0, 79)	0.006007569773066592
  (0, 75)	0.060880488167581924
  (0, 71)	0.010427368976284516
  (0, 68)	0.004301246470507518
  (0, 67)	0.003953993346138957
  (0, 66)	0.015044939518011351
  (0, 62)	1.6260031558176506
  (0, 57)	0.007676001487566937
  (0, 56)	0.006147104204853817
  (0, 51)	0.015932835291378723
  (0, 34)	0.0078051522937185565
  (0, 30)	0.011404926616539779
  (0, 29)	0.011005097087027729
  (0, 25)	0.013207201113961405
  (0, 17)	0.0036578552625676354
  (0, 15)	0.004601931361580477
  (0, 14)	0.0032942044818227746
  (0, 4)	0.02865002455322502"
237,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 11 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3122)	6.869760516756756e-07
  (0, 3000)	0.017475256381890156
  (0, 2912)	0.02327215744789003
  (0, 2715)	0.03625919069871735
  (0, 2097)	1.5666870940561406
  (0, 1994)	0.0084962112653542
  (0, 1946)	0.07019122196360948
  (0, 1375)	0.08819244507059328
  (0, 1168)	0.001404150262318163
  (0, 771)	0.047194149031232785
  (0, 710)	0.013842793659276242"
238,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 54 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3153)	1.710544597970355
  (0, 3139)	0.4515087517581096
  (0, 3114)	0.023712739722106843
  (0, 2954)	0.026008896394340716
  (0, 2935)	0.7608657823991852
  (0, 2663)	0.6087401487734899
  (0, 2543)	0.7964769898266372
  (0, 2438)	0.27719026241589706
  (0, 2369)	0.15469226221676854
  (0, 2266)	0.13520615493068558
  (0, 2233)	0.06180144968940795
  (0, 2116)	1.1446880957708319
  (0, 2110)	1.084856111401583
  (0, 2093)	0.5936407945311424
  (0, 2089)	0.35342601903459053
  (0, 2074)	0.40160879927215093
  (0, 2054)	0.9193202988002634
  (0, 2038)	0.282068648399783
  (0, 2018)	0.5020896034713646
  (0, 2003)	1.2143282308344232
  (0, 1912)	1.0071528471992657
  (0, 1870)	0.05805190818560748
  (0, 1834)	0.8298166801046066
  (0, 1785)	0.5730646511934223
  (0, 1773)	0.8471396499230088
  :	:
  (0, 1577)	0.7198211779786163
  (0, 1195)	0.41403748762121034
  (0, 1122)	0.5645565788892278
  (0, 1115)	1.9830591922256946
  (0, 1082)	1.3002340780812291
  (0, 1047)	0.010977179129499822
  (0, 1045)	0.016280402369845754
  (0, 1028)	0.015372549362004512
  (0, 1027)	0.019280604665075866
  (0, 1026)	1.9219015595589584
  (0, 1002)	0.01673569993247971
  (0, 998)	1.1411127277376472
  (0, 948)	0.02324502235334081
  (0, 943)	1.1264701713933176
  (0, 930)	0.015702681299677307
  (0, 926)	0.014709716787881882
  (0, 918)	1.908704071799473
  (0, 819)	2.4026133578534297
  (0, 815)	0.02310761654229615
  (0, 814)	0.7403798178503213
  (0, 626)	0.776826079338272
  (0, 443)	1.8670894752016716
  (0, 382)	2.374790860259855
  (0, 325)	1.6831852733440922
  (0, 322)	0.009340895084914428"
239,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 493 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3138)	0.026835134678467185
  (0, 3135)	0.027444632422512143
  (0, 3112)	0.03699383760249948
  (0, 3106)	0.04590425462173501
  (0, 3090)	0.2914924086808057
  (0, 3087)	0.08597858880790378
  (0, 3078)	0.17663753362798762
  (0, 3073)	0.01840143631363563
  (0, 3065)	0.033857691708886126
  (0, 3043)	0.3221917256919859
  (0, 3036)	0.026771235444143317
  (0, 3023)	0.033604530995843054
  (0, 3010)	2.0379975630101526
  (0, 3004)	0.34407371160038125
  (0, 2998)	0.024462588533830605
  (0, 2994)	0.0194681012331542
  (0, 2979)	0.19887418389425807
  (0, 2978)	0.02127099338515267
  (0, 2974)	0.12756086355143229
  (0, 2972)	0.03267728592900132
  (0, 2964)	0.018421476606738926
  (0, 2948)	0.4698140642789148
  (0, 2935)	0.020651223354525034
  (0, 2916)	0.21157592046282547
  (0, 2899)	0.5632436812700486
  :	:
  (0, 159)	0.007158750267477906
  (0, 154)	0.03325678418755639
  (0, 147)	0.013725064650493642
  (0, 132)	0.01041392759320211
  (0, 129)	0.0423291710498762
  (0, 125)	0.01390958317317873
  (0, 118)	0.04964538273412113
  (0, 117)	0.035258725252314556
  (0, 102)	0.007848335402499327
  (0, 99)	0.024657160924784892
  (0, 90)	0.0671262024853132
  (0, 89)	0.030281078489657092
  (0, 85)	0.05414024881697344
  (0, 84)	0.00857351088488359
  (0, 83)	0.00817769918861847
  (0, 81)	2.5287152355024483
  (0, 55)	0.21646867236114237
  (0, 51)	0.013332642337639516
  (0, 50)	0.006987641076363957
  (0, 35)	0.30341089724488346
  (0, 33)	0.21907245247519705
  (0, 28)	0.007454065757348291
  (0, 21)	0.032909793861631106
  (0, 19)	0.003845814323908213
  (0, 12)	0.011199549048995493"
240,"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 2205 stored elements and shape (1, 3155)>
  Coords	Values
  (0, 3153)	0.05578162057436177
  (0, 3148)	1.8812693749246483
  (0, 3146)	2.2750084428899116
  (0, 3145)	2.401164341419353
  (0, 3144)	2.4367079097231006
  (0, 3143)	2.4409243206675293
  (0, 3141)	0.03855691194378964
  (0, 3140)	2.2956549107082
  (0, 3138)	3.0179819689402594
  (0, 3135)	2.3555257421810443
  (0, 3134)	0.02482625890968717
  (0, 3131)	2.3900730394625445
  (0, 3130)	1.4407214439253173
